- МЕБЕЛЬНЫЙ УГОЛОК
,,,,LM-120x2.0,10,,120,2.0,1,18.720,,1444.25,1388.70,44,
,,,,LM-140x1.5,5,,140,1.5,1,8.190,,672.26,646.40,44,
,,,,LM-140x2.0,5,,140,2.0,1,10.920,,832.10,800.10,44,
,,,,LM-160x1.5,5,,160,1.5,1,9.360,,769.91,740.30,44,
,,,,LM-160x2.0,5,,160,2.0,1,12.480,,939.64,903.50,44,
,,,,LM-200x1.5,5,,200,1.5,1,11.700,,960.96,924.00,44,
,,,,LM-200x2.0,5,,200,2.0,1,15.600,,1201.20,1155.00,44,
- ЛЕНТА МОНТАЖНАЯ (ДИАМЕТР ОТВЕРСТИЙ 14 мм)
,,,,LM-30x1.0,25,,30,1.0,1,5.850,,457.60,440.00,45,
,,,,LM-30x1.5,10,,30,1.5,1,3.510,,317.20,305.00,45,
- ЛЕНТА ДЛЯ ВЕНТИЛЯЦИИ ПРЯМАЯ
,,,,LP_V-12х0.55,25,,12,0.55,5,0.870,4.35,102.30,102.30,46,
,,,,LP_V-12x0.75,25,,12,0.75,5,1.200,6.00,166.00,166.00,46,
,,,,LP_V-17х0.55,25,,17,0.55,5,1.250,6.25,144.30,144.30,46,
,,,,LP_V-20х0.55,25,,20,0.55,5,1.680,8.40,150.40,150.40,46,
,,,,LP_V-20х0.70,25,,20,0.70,5,2.100,10.50,195.00,195.00,46,
,,,,LP_V-20x1.00,25,,20,1.00,5,1.680,8.40,285.00,285.00,46,
,,,,LP_V-25x0.55,25,,25,0.55,5,2.100,10.50,216.40,216.40,46,
,,,,LP_V-25x0.70,25,,25,0.70,5,2.700,13.50,288.50,288.50,46,
- ЛЕНТА ДЛЯ ВЕНТИЛЯЦИИ ВОЛНООБРАЗНАЯ
,,,,LP_VLN-12х0.55,25,,12,0.55,5,1.320,6.60,122.60,122.60,47,
,,,,LP_VLN-12x0.75,25,,12,0.75,5,1.680,8.40,186.50,186.50,47,
,,,,LP_VLN-17х0.55,25,,17,0.55,5,1.920,9.60,158.80,158.80,47,
,,,,LP_VLN-17x0.75,25,,17,0.75,5,2.380,11.90,237.10,237.10,47,
,,,,LP_VLN-25x0.75,25,,25,0.75,5,3.500,17.50,357.00,357.00,47,
- ПЕРФОРИРОВАННАЯ ЛЕНТА ДЛЯ ТЕПЛОГО ПОЛА
,,,,LP_TP-20х0.55,10,,20,0.55,10,0.700,7.00,90.30,90.30,48,
- ТАРНАЯ ЛЕНТА
,,,,LP_TAR-20х0.55 (перфорированная),25,,20,0.55,5,1.680,8.40,168.00,168.00,49,
,,,,LP_TAR-20х0.55 (неперфорированная),25,,20,0.55,10,1.680,16.80,168.00,168.00,49,
- СКОЛЬЗЯЩАЯ ОПОРА
,,,,KUC-40х120,120,40,40,2.0,50,0.150,7.50,15.29,14.70,36,
,,,,KUC-60х220,220,60,60,2.0,35,0.412,14.42,41.60,40.00,36,
- СКОЛЬЗЯЩАЯ ОПОРА ДЛЯ СТРОПИЛ
,,,,KUCIS-90,90,90,40,2.0,20,0.250,5.00,24.02,23.10,37,
,,,,KUCIS-120,120,90,40,2.0,20,0.269,5.38,26.42,25.40,37,
,,,,KUCIS-160,160,90,40,2.0,20,0.281,5.62,29.02,27.90,37,
,,,,KUCIS-200,200,90,40,2.0,20,0.318,6.36,32.76,31.50,37,
- СКОЛЬЗЯЩАЯ ОПОРА ДЛЯ СТРОПИЛ ЗАКРЫТАЯ
,,,,KUCISZ-90,90,130,40,2.0,20,0.237,4.74,24.02,23.10,42,
,,,,KUCISZ-120,120,130,40,2.0,20,0.256,5.12,26.42,25.40,42,
,,,,KUCISZ-160,160,130,40,2.0,20,0.280,5.60,29.02,27.90,42,
,,,,KUCISZ-200,200,130,40,2.0,20,0.305,6.10,32.76,31.50,42,
,,,,KUCISZ-250,250,130,40,2.0,20,0.337,6.74,50.44,48.50,42,
- ОПОРА БРУСА
,,,,OBR R 40x105,76,105,40,2.0,60,0.295,17.70,26.42,25.40,38,
,,,,OBR R 40x145,76,145,40,2.0,60,0.295,17.70,33.90,32.60,38,
,,,,OBR R 40x170,76,170,40,2.0,60,0.430,25.80,37.96,36.50,38,
,,,,OBR R-50х105,76,105,50,2.0,60,0.295,17.70,26.42,25.40,38,
,,,,OBR R-50x140,76,140,50,2.0,60,0.360,21.60,34.74,33.40,38,
,,,,OBR R-50х160,76,160,50,2.0,60,0.430,25.80,42.02,40.40,38,
,,,,OBR R-50х180,76,180,50,2.0,60,0.512,30.72,46.70,44.90,38,
,,,,OBR R-75x100,76,100,75,2.0,60,0.349,20.94,34.94,33.60,38,
,,,,OBR R-75x150,76,150,75,2.0,40,0.430,17.20,40.77,39.20,38,
,,,,OBR R-80x120,76,120,80,2.0,40,0.430,17.20,39.42,37.90,38,
,,,,OBR R-80x150,76,150,80,2.0,40,0.430,17.20,42.64,41.00,38,
,,,,OBR R-80x180,76,180,80,2.0,40,0.430,17.20,54.08,52.00,38,
,,,,OBR R-100x100,76,100,100,2.0,40,0.430,17.20,34.94,33.60,38,
,,,,OBR R-100х140,76,140,100,2.0,40,0.430,17.20,42.12,40.50,38,
,,,,OBR R-100х160,76,160,100,2.0,40,0.499,19.96,45.34,43.60,38,
,,,,OBR R-100x200,76,200,100,2.0,40,0.624,24.96,54.08,52.00,38,
,,,,OBR R-150x150,76,150,150,2.0,40,0.560,22.40,54.08,52.00,38,
- ОПОРА БРУСА ЗАКРЫТАЯ
,,,,OBR Z-40x105,76,105,40,2.0,60,0.312,18.72,26.42,25.40,39,
,,,,OBR Z-40x145,76,145,40,2.0,60,0.412,24.72,33.90,32.60,39,
,,,,OBR Z-50x100,76,100,50,2.0,60,0.312,18.72,26.42,25.40,39,
,,,,OBR Z-50x140,76,140,50,2.0,60,0.412,24.72,34.74,33.40,39,
,,,,OBR Z-75x100,76,100,75,2.0,60,0.312,18.72,34.94,33.60,39,
,,,,OBR Z-75х150,76,150,75,2.0,50,0.474,23.70,40.77,39.20,39,
,,,,OBR Z-80x120,76,120,80,2.0,50,0.399,19.95,39.42,37.90,39,
,,,,OBR Z-80x150,76,150,80,2.0,40,0.474,18.96,42.64,41.00,39,
,,,,OBR Z-80x180,76,180,80,2.0,40,0.549,21.96,54.08,52.00,39,
,,,,OBR Z 100х100,76,100,100,2.0,50,0.374,18.70,34.94,33.60,39,
,,,,OBR Z 100х200,76,200,100,2.0,40,0.624,24.96,54.08,52.00,39,
,,,,OBR Z-100х140,76,140,100,2.0,50,0.474,23.70,42.12,40.50,39,
,,,,OBR Z-100х160,76,160,100,2.0,50,0.499,24.95,45.34,43.60,39,
,,,,OBR Z-150x150,76,150,150,2.0,40,0.560,22.40,54.08,52.00,39,
- ОПОРА БАЛКИ
,,,,OB Л,76,140,25,2.0,80,0.190,15.20,17.47,16.80,40,
,,,,OB П,76,140,25,2.0,80,0.190,15.20,17.47,16.80,40,
- ДЕРЖАТЕЛЬ БАЛКИ
,,,,DB Л-170,40,170,40,2.0,20,0.081,1.62,11.13,10.70,41,
,,,,DB П-170,40,170,40,2.0,20,0.081,1.62,11.13,10.70,41,
,,,,DB Л-190,40,190,40,2.0,20,0.101,2.02,13.21,12.70,41,
,,,,DB П-190,40,190,40,2.0,20,0.101,2.02,13.21,12.70,41,
,,,,DB Л-210,40,210,40,2.0,20,0.122,2.44,14.56,14.00,41,
,,,,DB П-210,40,210,40,2.0,20,0.122,2.44,14.56,14.00,41,
,,,,DB Л-250,40,250,40,2.0,20,0.161,3.22,20.80,20.00,41,
,,,,DB П-250,40,250,40,2.0,20,0.161,3.22,20.80,20.00,41,
,,,,DB Л-290,40,290,40,2.0,20,0.201,4.02,26.42,25.40,41,
